2,6,4.4,vivamus tortor duis,2021-04-17, 9
1,3,1.5,imperdiet nullam orci pede,2021-08-23, 3
6,4,2.8,interdum mauris ullamcorper,2021-12-05, 1
4,2,3.6,nulla tellus in sagittis dui vel nisl,2021-12-17, 12
2,3,3.5,velit donec diam neque vestibulum eget,2021-08-24, 2
6,5,3.6,justo nec condimentum,2021-10-30, 0
3,5,2.0,natoque penatibus et magnis dis parturient montes nascetur,2021-05-22, 5
3,4,3.7,interdum eu tincidunt in leo,2021-09-17, 23
1,6,1.3,aliquet at feugiat non pretium quis,2022-01-09, 12
1,4,4.9,adipiscing elit proin interdum mauris non ligula,2021-07-05, 4
6,3,2.9,nunc nisl duis bibendum felis sed,2021-07-25, 6
5,5,4.9,mauris laoreet ut rhoncus aliquet pulvinar sed nisl,2021-03-21, 7
46,1,1.6,consequat nulla,2/21/2022,4
82,1,3.4,aliquam non,4/15/2021,46
70,2,3.3,pellentesque,10/25/2021,22
83,4,2.8,volutpat,6/25/2021,61
11,5,1.4,eu pede,2/13/2022,44
78,5,3.9,ut dolor,5/23/2021,94
22,1,2.5,dsa,3/22/2021,7
100,0,5,Good!,1/1/2022,1
83,3,0.6,dis parturient montes nascetur,12/27/2021,36
80,4,1.2,felis eu sapien cursus,7/10/2021,38
62,5,4.4,sem mauris,10/13/2021,68
87,6,3.3,nisi,11/5/2021,82
29,7,4.4,vitae,2/9/2022,27
42,8,1.9,lectus suspendisse potenti,10/20/2021,41
11,9,4.1,ac diam,1/14/2022,52
14,9,3.9,id nulla ultrices aliquet,11/8/2021,76
25,9,2,dolor vel,10/8/2021,15
30,9,4.9,turpis integer aliquet,11/30/2021,24
52,9,2.9,sodales sed,1/10/2022,24
100,9,0.1,duis,8/19/2021,83
91,10,2.4,vel sem,8/21/2021,90
14,11,2.3,habitasse platea,9/4/2021,16
39,11,1.7,posuere,11/2/2021,81
82,11,3.4,non mauris morbi,9/4/2021,24
67,12,1.9,quam suspendisse potenti,12/12/2021,70
58,13,0.9,in sagittis dui vel,9/2/2021,65
64,14,0.4,sagittis sapien cum sociis,11/26/2021,94
7,15,1.9,pellentesque viverra,12/20/2021,31
3,16,3.9,ac est lacinia,6/2/2021,52
45,16,3,sit amet,2/4/2022,32
11,17,4,turpis,3/14/2022,8
34,17,2.4,neque libero convallis eget,3/28/2022,22
71,17,0.5,eget orci vehicula,5/8/2021,24
51,18,0.7,est,11/3/2021,42
70,18,1.9,aliquet massa id lobortis,6/12/2021,50
87,18,0.9,tristique tortor eu pede,7/28/2021,44
83,19,4.6,libero quis,6/27/2021,6
67,20,0.3,aliquet at feugiat non,4/30/2021,28
89,21,2,mattis nibh ligula nec,4/23/2021,7
15,22,0,vestibulum vestibulum ante ipsum,5/26/2021,39
43,23,3.4,consectetuer eget rutrum,4/9/2022,39
99,23,3.5,augue vestibulum rutrum,5/30/2021,24
53,24,0,eget semper rutrum nulla,3/21/2022,77
71,24,2.5,dui vel sem sed,4/16/2021,88
75,26,4.2,ipsum aliquam non mauris,10/9/2021,98
82,26,3.7,sagittis,5/9/2021,43
32,27,0.4,sapien,11/24/2021,33
38,27,2.9,elit ac nulla,6/20/2021,66
47,27,3.2,accumsan odio,11/16/2021,5
77,28,0.5,vehicula consequat morbi a,12/17/2021,13
86,28,1.4,at diam nam,2/7/2022,25
93,28,0.9,lacus morbi sem mauris,11/18/2021,98
41,29,4.7,ultrices libero,2/6/2022,19
18,32,2,non,8/15/2021,25
5,33,1.2,maecenas pulvinar lobortis est,12/3/2021,86
66,33,4.8,adipiscing elit proin,12/17/2021,7
2,35,2.6,montes nascetur,2/18/2022,71
89,36,2.7,imperdiet nullam orci pede,3/3/2022,92
83,37,0.9,nibh,5/15/2021,57
96,37,0.1,in sagittis dui vel,8/12/2021,58
31,38,3.7,curae,5/27/2021,66
33,39,0.1,condimentum curabitur in,9/6/2021,32
35,39,1.3,sapien in sapien,11/20/2021,39
39,39,0.6,faucibus orci luctus et,11/8/2021,26
59,40,3.5,integer aliquet massa,9/6/2021,84
7,42,4.1,at lorem,7/9/2021,34
16,43,1.2,nulla sed accumsan,4/19/2021,35
74,44,5,tincidunt eu felis,6/2/2021,42
49,45,1.8,ac nulla sed,4/23/2021,62
82,45,1.7,dolor,2/7/2022,25
37,46,3.8,justo sollicitudin ut,4/3/2022,4
65,47,3.5,vestibulum,6/15/2021,13
7,48,2,etiam pretium iaculis,8/20/2021,17
52,48,2,fusce,9/11/2021,65
28,50,2.5,eu,1/20/2022,13
32,50,0.2,mauris ullamcorper purus,9/9/2021,28
95,55,2.6,feugiat et eros,5/16/2021,2
39,59,4.4,ante ipsum,8/23/2021,44
91,60,0.2,non pretium quis,6/11/2021,24
98,60,0.3,egestas metus aenean,9/10/2021,67
73,61,3.7,elementum ligula vehicula,4/6/2022,11
82,61,0.8,turpis,8/27/2021,15
84,61,4.9,magna,10/5/2021,16
20,62,4.5,pulvinar sed nisl nunc,6/22/2021,3
69,62,4.8,vel sem,4/26/2021,7
1,63,1.8,tincidunt eu,4/19/2021,75
56,63,0.7,sapien dignissim,11/23/2021,60
21,64,1.2,in libero ut,12/5/2021,93
52,64,3.1,vehicula consequat morbi,10/25/2021,5
85,65,4.9,felis fusce posuere felis,10/22/2021,85
95,65,2.6,in faucibus,9/27/2021,60
21,66,4.9,dolor quis odio,12/17/2021,48
41,67,1.5,dis parturient,6/22/2021,17
80,68,3.2,vestibulum velit id pretium,11/30/2021,99
41,70,4.3,amet cursus,7/25/2021,67
6,71,0.3,rhoncus aliquam lacus,1/25/2022,55
88,71,1.7,ipsum,10/19/2021,64
48,73,0.2,nisl duis ac nibh,11/24/2021,88
52,73,3.1,nulla eget eros,10/3/2021,35
66,74,0.6,cum,10/6/2021,97
12,75,1,in felis,7/18/2021,46
90,75,1.2,quis augue luctus tincidunt,3/28/2022,75
18,76,0.4,lectus,4/18/2021,71
40,77,0.6,in purus,5/16/2021,57
33,78,3.1,metus arcu,10/16/2021,25
53,79,4.9,eget,4/25/2021,80
13,80,2.5,vel pede morbi,1/17/2022,35
23,80,2.5,eros,7/21/2021,14
91,80,2,at nibh,1/12/2022,3
1,84,0.8,magnis dis parturient,2/12/2022,53
21,84,0.7,felis sed interdum,9/27/2021,25
84,85,3.2,faucibus orci luctus,7/12/2021,30
18,86,0.9,ut suscipit,6/13/2021,13
51,87,0.5,tristique fusce congue,10/20/2021,65
54,87,3.1,congue risus semper porta,8/15/2021,46
65,88,4,vestibulum rutrum,4/20/2021,89
80,89,1.9,eu sapien cursus,5/17/2021,75
82,89,1.5,orci,10/9/2021,13
60,92,1.8,nisl nunc rhoncus dui,11/20/2021,99
100,93,0.9,vulputate justo in,9/26/2021,83
40,94,2.7,ligula pellentesque ultrices,8/19/2021,88
86,94,5,diam neque,11/28/2021,36
3,95,2.2,scelerisque quam turpis,11/23/2021,91
76,97,0.1,in,7/27/2021,51
55,98,1.2,ornare consequat lectus in,3/8/2022,60
74,98,1.3,lobortis convallis,11/19/2021,81
80,98,3.8,ligula pellentesque ultrices,10/12/2021,33
84,98,0.1,id consequat in,10/7/2021,88
42,99,1.8,nisi nam ultrices,9/8/2021,8
76,99,3.9,vel nulla eget eros,8/16/2021,80
83,99,4.7,auctor sed,8/18/2021,87
91,100,4.7,pede morbi,12/14/2021,4
88,101,0.7,vestibulum velit id,11/28/2021,11
14,102,4.3,ipsum primis,11/18/2021,99
30,102,1.2,porttitor lacus,9/19/2021,83
34,102,2.1,ultrices posuere cubilia,6/11/2021,7
90,103,2.5,enim blandit mi in,4/16/2021,85
52,104,4.4,non,12/3/2021,99
92,104,2.2,imperdiet nullam orci pede,8/24/2021,2
65,105,3.1,iaculis,5/2/2021,68
66,105,1.6,nisi vulputate nonummy,8/3/2021,97
15,108,1.8,morbi,4/23/2021,22
98,110,2.7,justo,11/29/2021,83
43,111,0.1,quam suspendisse potenti,11/1/2021,7
93,111,4.7,aliquam augue quam,10/19/2021,70
49,112,2.6,aliquam erat volutpat in,5/19/2021,36
41,113,4.8,libero rutrum ac lobortis,2/11/2022,71
91,113,0.5,felis,2/3/2022,75
94,113,1.7,duis bibendum morbi,2/5/2022,9
89,114,0.4,posuere,12/11/2021,48
10,116,4.9,suscipit,8/9/2021,42
22,116,4.4,pulvinar nulla,3/17/2022,41
46,116,0.7,ipsum primis in,6/20/2021,68
58,117,2.1,lectus in,12/5/2021,21
100,119,1,elit sodales,5/16/2021,11
74,120,4.8,sed accumsan felis ut,10/25/2021,23
22,121,0.5,vulputate luctus cum,1/8/2022,1
30,121,0.2,proin leo odio,6/24/2021,83
20,122,1,mi pede,4/12/2021,74
13,124,2.2,lacus at turpis donec,2/5/2022,49
88,124,1.1,urna pretium nisl,4/3/2022,38
71,125,1.3,sapien cursus vestibulum proin,5/15/2021,68
95,125,4.6,in,4/29/2021,9
96,125,1.5,sem duis,3/26/2022,66
15,126,1.2,erat eros viverra eget,10/16/2021,38
80,127,1.4,aliquet pulvinar,5/16/2021,22
9,128,2.6,pede venenatis non,8/29/2021,93
13,128,3.8,pede malesuada in imperdiet,11/25/2021,25
43,128,4.9,proin,4/19/2021,100
38,129,3.4,porta volutpat erat,9/9/2021,25
23,130,4.6,cras non velit,9/7/2021,98
31,130,3.2,sapien sapien non mi,2/19/2022,31
32,130,3.4,vulputate nonummy maecenas,10/14/2021,14
59,130,2.3,ut rhoncus,10/3/2021,38
